Station:CCNY -,,
Date,Time,CO
,,ppb
12/31/16,12:00 AM,0.23
Minimum,,-0.06
MinDate,,18-Jan
MinTime,,12:00
Maximum,,1.03
MaxDate,,6-Jan
MaxTime,,12:00
Avg,,0.23
Num,,345
Data[%],,94
STD,,0.1
