Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
9/8/17,12:00 AM,0.019,4.5,0.17
9/9/17,12:00 AM,0.014,2.9,0.14
9/10/17,12:00 AM,0.018,3.7,0.16
9/11/17,12:00 AM,0.017,4.4,0.2
9/12/17,12:00 AM,0.015,7.3,0.24
9/13/17,12:00 AM,0.015,9.8,0.27
9/14/17,12:00 AM,0.018,10.1,0.2
9/15/17,12:00 AM,0.021,10.6,0.27
9/16/17,12:00 AM,0.028,14.8,0.31
9/17/17,12:00 AM,0.029,12.9,0.3
9/18/17,12:00 AM,0.02,4.4,0.16
9/19/17,12:00 AM,0.017,8.2,0.14
9/20/17,12:00 AM,0.021,5,0.12
9/21/17,12:00 AM,0.02,8.6,0.15
9/22/17,12:00 AM,0.031,4.9,0.14
9/23/17,12:00 AM,0.033,6.4,0.19
9/24/17,12:00 AM,0.032,12.9,0.26
9/25/17,12:00 AM,0.022,13,0.33
9/26/17,12:00 AM,0.018,5.9,0.26
9/27/17,12:00 AM,0.007,4.8,0.22
9/28/17,12:00 AM,0.018,,0.14
9/29/17,12:00 AM,0.022,3.8,0.15
9/30/17,12:00 AM,0.016,6,0.17
10/1/17,12:00 AM,0.024,4.6,0.16
10/2/17,12:00 AM,0.023,6.6,0.19
10/3/17,12:00 AM,0.019,6.7,0.22
10/4/17,12:00 AM,0.022,8.7,0.2
10/5/17,12:00 AM,0.028,11,0.2
10/6/17,12:00 AM,0.018,11.7,0.28
10/7/17,12:00 AM,0.018,9.7,0.26
10/8/17,12:00 AM,0.011,5.6,0.14
10/9/17,12:00 AM,0.006,6.3,0.16
10/10/17,12:00 AM,0.021,6.4,0.17
10/11/17,12:00 AM,0.022,10.1,0.22
10/12/17,12:00 AM,0.021,5.7,0.15
10/13/17,12:00 AM,0.022,5.6,0.18
10/14/17,12:00 AM,0.019,4.7,0.21
10/15/17,12:00 AM,0.016,6.5,0.18
10/16/17,12:00 AM,0.022,3.2,0.13
10/17/17,12:00 AM,0.014,5.7,0.17
10/18/17,12:00 AM,0.013,10.6,0.27
10/19/17,12:00 AM,0.019,10.1,0.24
10/20/17,12:00 AM,0.025,7.2,0.2
10/21/17,12:00 AM,0.018,9.4,0.32
10/22/17,12:00 AM,0.024,11.7,0.36
10/23/17,12:00 AM,0.025,6.1,0.17
10/24/17,12:00 AM,0.027,8.7,0.13
10/25/17,12:00 AM,0.015,6.5,0.23
10/26/17,12:00 AM,0.018,6,0.16
10/27/17,12:00 AM,0.02,7.4,0.22
10/28/17,12:00 AM,0.031,6.8,0.18
